Date,HD
2021-12-01,378.1010437011719
2022-01-01,335.7253723144531
2022-02-01,288.9316711425781
2022-03-01,273.8368835449219
2022-04-01,276.4742736816406
2022-05-01,278.6370544433594
2022-06-01,252.42538452148438
2022-07-01,278.720458984375
2022-08-01,267.12481689453125
2022-09-01,257.23382568359375
2022-10-01,276.05511474609375
2022-11-01,302.02642822265625
2022-12-01,296.2289123535156
2023-01-01,304.0224914550781
2023-02-01,278.1096496582031
2023-03-01,276.7779541015625
2023-04-01,283.90216064453125
2023-05-01,267.75836181640625
2023-06-01,295.55560302734375
2023-07-01,317.6290283203125
2023-08-01,314.2608947753906
2023-09-01,289.3232727050781
2023-10-01,272.595458984375
2023-11-01,300.1718444824219
2023-12-01,334.0555419921875
2024-01-01,340.2344665527344
2024-02-01,366.8875732421875
2024-03-01,369.7698059082031
2024-04-01,324.0969543457031
2024-05-01,324.7272644042969
2024-06-01,336.1340637207031
2024-07-01,359.4908142089844
2024-08-01,359.8227844238281
2024-09-01,398.0617980957031
2024-10-01,386.8135070800781
2024-11-01,421.5702209472656
2024-12-01,384.149658203125
2025-01-01,406.8536376953125
2025-02-01,391.6650085449219
2025-03-01,361.9296569824219
2025-04-01,358.2635498046875
2025-05-01,366.015380859375
2025-06-01,364.3755798339844
