Date,INTC
2021-12-01,47.76451873779297
2022-01-01,45.27890396118164
2022-02-01,44.240150451660156
2022-03-01,46.31538009643555
2022-04-01,40.73622512817383
2022-05-01,41.51189041137695
2022-06-01,35.237178802490234
2022-07-01,34.201072692871094
2022-08-01,30.066043853759766
2022-09-01,24.518293380737305
2022-10-01,27.049089431762695
2022-11-01,28.60943031311035
2022-12-01,25.485862731933594
2023-01-01,27.25048828125
2023-02-01,24.039443969726562
2023-03-01,31.886810302734375
2023-04-01,30.31540870666504
2023-05-01,30.686304092407227
2023-06-01,32.77200698852539
2023-07-01,35.05546951293945
2023-08-01,34.438053131103516
2023-09-01,34.965206146240234
2023-10-01,35.899574279785156
2023-11-01,43.96468734741211
2023-12-01,49.58590316772461
2024-01-01,42.51066589355469
2024-02-01,42.481056213378906
2024-03-01,43.714012145996094
2024-04-01,30.155445098876953
2024-05-01,30.531522750854492
2024-06-01,30.774776458740234
2024-07-01,30.546226501464844
2024-08-01,21.90106964111328
2024-09-01,23.459999084472656
2024-10-01,21.520000457763672
2024-11-01,24.049999237060547
2024-12-01,20.049999237060547
2025-01-01,19.43000030517578
2025-02-01,23.729999542236328
2025-03-01,22.709999084472656
2025-04-01,20.100000381469727
2025-05-01,19.549999237060547
2025-06-01,22.399999618530273
