Date,KO
2021-12-01,53.322086334228516
2022-01-01,54.94309616088867
2022-02-01,56.05078887939453
2022-03-01,55.83465576171875
2022-04-01,58.63050842285156
2022-05-01,57.51434326171875
2022-06-01,57.08783721923828
2022-07-01,58.651939392089844
2022-08-01,56.40348434448242
2022-09-01,51.20276641845703
2022-10-01,55.10225296020508
2022-11-01,58.56398391723633
2022-12-01,58.979331970214844
2023-01-01,56.85603713989258
2023-02-01,55.17780303955078
2023-03-01,57.51435089111328
2023-04-01,59.93626022338867
2023-05-01,55.74119186401367
2023-06-01,56.2644157409668
2023-07-01,58.302757263183594
2023-08-01,56.32575607299805
2023-09-01,52.70124816894531
2023-10-01,53.603309631347656
2023-11-01,55.45365905761719
2023-12-01,56.36387252807617
2024-01-01,56.89949417114258
2024-02-01,57.40641403198242
2024-03-01,58.515899658203125
2024-04-01,59.552772521972656
2024-05-01,60.671142578125
2024-06-01,61.36529541015625
2024-07-01,64.84364318847656
2024-08-01,70.41083526611328
2024-09-01,69.81816101074219
2024-10-01,63.88929748535156
2024-11-01,62.686058044433594
2024-12-01,61.36758804321289
2025-01-01,62.57010269165039
2025-02-01,70.18930053710938
2025-03-01,70.59343719482422
2025-04-01,72.03781127929688
2025-05-01,71.59098815917969
2025-06-01,70.25051879882812
